institution_id,institution_display_name,institution_type,institution_country_code,simplified_institution_category,target_firm_label
I4210094062,University Medical Center of the Johannes Gutenberg University Mainz,healthcare,DE,healthcare,Other
I4210098931,Quantitative BioSciences,nonprofit,US,nonprofit,Other
I4210134158,Centre Hospitalier de Valence,healthcare,FR,healthcare,Other
I4210144746,The London College,education,GB,education,Other
I4210092499,Center Point,other,US,unknown,Other
I1343573832,Mount Carmel Health,healthcare,US,healthcare,Other
I43313876,Dalian Maritime University,education,CN,education,Other
I125839683,Beijing Institute of Technology,education,CN,education,Other
I132976966,Universität für Weiterbildung Krems,education,AT,education,Other
I180297670,RTI International,funder,US,unknown,Other
I231025917,Hellenic Open University,education,GR,education,Other
I4210113543,Vhi Healthcare,healthcare,IE,healthcare,Other
I81556334,Amrita Vishwa Vidyapeetham,education,IN,education,Other
I309707301,Botho University,education,BW,education,Other
I196699116,Wuhan University of Technology,education,CN,education,Other
I109935558,Ningbo University,education,CN,education,Other
I180726961,Shenzhen University,education,CN,education,Other
I4210152380,Shenzhen Technology University,education,CN,education,Other
I139024713,Guangdong University of Technology,education,CN,education,Other
I180519160,Copenhagen Business School,education,DK,education,Other
I4210120221,Max Planck Institute for Human Development,facility,DE,research_institute,Other
I4210119286,Nesta,nonprofit,GB,nonprofit,Other
I4210164149,Bonn Aachen International Center for Information Technology,facility,DE,research_institute,Other
I4387154616,Lamarr Institute for Machine Learning and Artificial Intelligence,facility,,research_institute,Other
I4923324,Fraunhofer-Gesellschaft,government,DE,government,Other
I4210143272,Camber Collective (United States),company,US,company,Other
I181653535,San Diego Supercomputer Center,facility,US,research_institute,Other
I3148997608,Institute for Systems Biology,nonprofit,US,nonprofit,Other
I4210140900,Fisher Bioservices (United States),company,US,company,Other
I2279609970,Université de Lille,education,FR,education,Other
I7454413,École Centrale de Lille,education,FR,education,Other
I4210135521,Max Planck Institute for Intelligent Systems,facility,DE,research_institute,Other
I142207940,California NanoSystems Institute,facility,US,research_institute,Other
I4210136793,Peng Cheng Laboratory,facility,CN,research_institute,Other
I4210136246,China Telecom (China),company,CN,company,Other
I4387153335,China Telecom,company,,company,Other
I146655781,University of Liverpool,education,GB,education,Other
I4210155350,Purple Mountain Laboratories,facility,CN,research_institute,Other
I137853757,Howard University,education,US,education,Other
I4210127325,Broadcom (United States),company,US,company,Other
I4210132578,University Hospital Frankfurt,healthcare,DE,healthcare,Other
I4210124799,Azienda Ospedaliero-Universitaria Cagliari,healthcare,IT,healthcare,Other
I4210148371,Deutsches Herzzentrum München,healthcare,DE,healthcare,Other
I4210120689,Universitätsklinikum Aachen,healthcare,DE,healthcare,Other
I4210112820,Shanghai Institute of Materia Medica,facility,CN,research_institute,Other
I131434179,Nanjing University of Chinese Medicine,education,CN,education,Other
I4210116459,Cohen Children's Medical Center,healthcare,US,healthcare,Other
I37696226,University of Maribor,education,SI,education,Other
I152031979,Nanjing Normal University,education,CN,education,Other
I4210126310,Universitätsklinikum Würzburg,healthcare,DE,healthcare,Other
I200332995,TU Dortmund University,education,DE,education,Other
I4210086407,"Institut für Medizinische Informatik, Biometrie und Epidemiologie",facility,DE,research_institute,Other
I4210161917,West German Heart and Vascular Center Essen,healthcare,DE,healthcare,Other
I1303691731,European Molecular Biology Organization,nonprofit,DE,nonprofit,Other
I116953780,Tongji University,education,CN,education,Other
I4210108985,Bellevue Hospital Center,healthcare,US,healthcare,Other
I1304256225,University of Wisconsin System,education,US,education,Other
I77079311,Wonkwang University,education,KR,education,Other
