id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I114564095,I114564095,University of Ouargla,education,education,Other,DZ,1,0.00031075201988812925,1.0,0.0,9.197867161361593e-31,52
I114794399,I114794399,Suez Canal University,education,education,Other,EG,3,0.0009322560596643878,3.0,0.0,1.3579285031581027e-05,70
I114832834,I114832834,Tulane University,education,education,Other,US,3,0.009011808576755749,44.0,2.1510122003673886e-05,0.010071666709757635,59
I114845381,I114845381,National Institute of Technology Calicut,education,education,Other,IN,1,0.0,0.0,0.0,7.01741574200561e-36,55
I114982161,I114982161,Isfahan University of Medical Sciences,education,education,Other,IR,1,0.00031075201988812925,1.0,0.0,9.197867161361593e-31,56
I115228651,I115228651,"Agency for Science, Technology and Research",government,government,Other,SG,2,0.0009322560596643878,3.0,0.0005167930700657418,0.0009440923647383156,1
I115455960,I115455960,Centre for Quantum Technologies,facility,research_institute,Other,SG,1,0.0021752641392169046,7.0,0.0,0.004759942080469847,11
I115592961,I115592961,Jiangsu University,education,education,Other,CN,2,0.0018645121193287756,6.0,0.0010331997527893786,4.173354243254491e-05,47
I115684694,I115684694,Industrial University of Santander,education,education,Other,CO,1,0.0015537600994406462,5.0,0.0,1.7733181683934645e-05,39
I115748381,I115748381,Assumption University,education,education,Other,TH,1,0.0009322560596643878,3.0,0.0,5.888973834807425e-07,47
I115891769,I115891769,Universidade dos Açores,education,education,Other,PT,1,0.014605344934742075,47.0,0.0,0.012839970756676259,13
I116067653,I116067653,University of Rome Tor Vergata,education,education,Other,IT,2,0.00031075201988812925,1.0,0.0,9.197867161361593e-31,38
I116265982,I116265982,Qinghai University,education,education,Other,CN,1,0.0006215040397762585,2.0,0.0,1.2096650328236414e-05,47
I116631150,I116631150,Ulsan College,education,education,Other,KR,3,0.0015537600994406462,9.0,9.156766694652457e-07,0.0006424612058469961,57
I116891498,I116891498,Siddhartha Medical College,education,education,Other,IN,1,0.0015537600994406462,5.0,0.0,8.623442217241839e-08,82
I116943215,I116943215,Dr. A.P.J. Abdul Kalam Technical University,education,education,Other,IN,1,0.0006215040397762585,2.0,0.0,9.062302127613699e-28,58
I116953780,I116953780,Tongji University,education,education,Other,CN,19,0.00839030453697949,29.0,0.003898646541979572,0.005098489965941409,47
I11701301,I11701301,Griffith University,education,education,Other,AU,2,0.0009322560596643878,3.0,0.0010331997527893786,1.9100514525472877e-05,13
I117381506,I117381506,Thiruvalluvar University,education,education,Other,IN,1,0.0021752641392169046,7.0,0.0,1.5378735591036588e-07,82
I1174212,I1174212,University of Southern California,education,education,Other,US,18,0.03791174642635177,132.0,0.00608375381905895,0.0627271305798925,1
I11750234,I11750234,University of Science and Culture,education,education,Other,IR,1,0.00031075201988812925,1.0,0.0,6.900945349721365e-05,59
I117807411,I117807411,National Society of Professional Engineers,nonprofit,nonprofit,Other,US,2,0.0,0.0,0.0,7.01741574200561e-36,60
I11793825,I11793825,National Institute of Technology Patna,education,education,Other,IN,3,0.003418272218769422,12.0,0.00040037968767880227,8.904153852927612e-06,82
I117965899,I117965899,University of Hawaiʻi at Mānoa,education,education,Other,US,2,0.024549409571162212,79.0,0.0004516508013361262,0.057637435216279564,17
I118019719,I118019719,Roche (Switzerland),company,company,Other,CH,1,0.004661280298321939,15.0,0.0,0.003272291595844318,41
I118347220,I118347220,NEC (Japan),company,company,Other,JP,1,0.0006215040397762585,2.0,0.0,0.00013760047486101464,59
I118347636,I118347636,Australian National University,education,education,Other,AU,4,0.004350528278433809,14.0,0.0001758572567545747,0.001712033890211525,75
I118373667,I118373667,Seoul National University of Science and Technology,education,education,Other,KR,1,0.00031075201988812925,1.0,0.0,9.197867161361593e-31,61
I118501908,I118501908,National Research University Higher School of Economics,education,education,Other,RU,5,0.005904288377874455,20.0,0.0044743510645577625,0.004843400860085692,39
I118564535,I118564535,University of Bern,education,education,Other,CH,3,0.0031075201988812924,10.0,0.002620673237659514,0.0016523551383807972,39
I1187138,I1187138,Razi University,education,education,Other,IR,1,0.0006215040397762585,2.0,0.0,5.941544026512863e-05,75
I11880225,I11880225,National Institute of Technology Karnataka,education,education,Other,IN,2,0.004972032318210068,16.0,0.0,0.006704110246767741,59
I118905719,I118905719,University of Primorska,education,education,Other,SI,1,0.00031075201988812925,1.0,0.0,9.197867161361593e-31,62
I118987531,I118987531,Anhui Jianzhu University,education,education,Other,CN,3,0.002486016159105034,10.0,2.9935819314533587e-05,0.0007256364621290514,47
I119003972,I119003972,Roma Tre University,education,education,Other,IT,1,0.006836544437538844,22.0,0.0,0.005900056415044644,8
I119004910,I119004910,Silesian University of Technology,education,education,Other,PL,3,0.0021752641392169046,7.0,0.00423044457747241,7.5879427594065525e-06,70
I119045251,I119045251,Huaqiao University,education,education,Other,CN,3,0.0021752641392169046,10.0,5.435987026465515e-05,0.00024751070294793987,47
I11923345,I11923345,Wrocław University of Science and Technology,education,education,Other,PL,1,0.0006215040397762585,2.0,0.0,2.67831648171403e-07,75
I119311299,I119311299,Kumaun University,education,education,Other,IN,1,0.0009322560596643878,3.0,0.0,2.5229834634273786e-09,82
I11935315,I11935315,École Nationale Supérieure de Chimie de Montpellier,education,education,Other,FR,1,0.0031075201988812924,10.0,0.0,0.0019061295602285635,75
I119439378,I119439378,University of Verona,education,education,Other,IT,4,0.0031075201988812924,10.0,5.8753802871297004e-05,0.0007167938329209582,114
I119454577,I119454577,Nanjing Agricultural University,education,education,Other,CN,2,0.0006215040397762585,2.0,1.0432458236841145e-05,8.938791077766151e-06,70
I11947397,I11947397,Tata Institute of Fundamental Research,education,education,Other,IN,1,0.0031075201988812924,10.0,0.0,0.0038169874830774582,59
I119474363,I119474363,Canterbury Christ Church University,education,education,Other,GB,1,0.001243008079552517,4.0,0.0,0.000267827517466497,68
I11957088,I11957088,Michigan Technological University,education,education,Other,US,1,0.001243008079552517,4.0,0.0,0.0007484181282373004,17
I119744171,I119744171,Higher Colleges of Technology,education,education,Other,AE,3,0.0031075201988812924,12.0,0.0010331997527893786,2.2540424628090974e-05,70
I119856527,I119856527,Cadi Ayyad University,education,education,Other,MA,2,0.003418272218769422,11.0,0.0002439032183129774,0.0017056125340152606,47
I119916105,I119916105,Augsburg University,education,education,Other,US,1,0.0006215040397762585,2.0,0.0,1.928698668181078e-06,68
I119939252,I119939252,Indraprastha Institute of Information Technology Delhi,education,education,Other,IN,3,0.0018645121193287756,6.0,0.0001075204814153525,9.532062310642676e-05,8
I120125038,I120125038,Bond University,education,education,Other,AU,2,0.0037290242386575512,13.0,0.0001537455793604904,0.0018559336381684909,75
I120156002,I120156002,Boise State University,education,education,Other,US,1,0.0006215040397762585,2.0,0.0,0.00024724469986744355,47
I120158604,I120158604,Kunsan National University,education,education,Other,KR,1,0.0,0.0,0.0,7.01741574200561e-36,69
I120250893,I120250893,New York University Abu Dhabi,education,education,Other,AE,1,0.0006215040397762585,2.0,0.0,0.0006012524407302311,70
I12093191,I12093191,University of Stirling,education,education,Other,GB,1,0.013983840894965816,45.0,0.0,0.015054103733399542,20
I12097938,I12097938,West Virginia University,education,education,Other,US,6,0.0015537600994406462,6.0,0.0010430602406728308,0.00076278660665427,47
I121032520,I121032520,Medical University of Lublin,education,education,Other,PL,1,0.0009322560596643878,3.0,0.0,6.373219587591293e-05,8
I121243025,I121243025,"International Islamic University, Islamabad",education,education,Other,PK,1,0.001243008079552517,4.0,0.0,6.041482547682631e-07,75
I121748325,I121748325,Universidad Complutense de Madrid,education,education,Other,ES,4,0.002486016159105034,9.0,0.001287032842942639,0.000899478643221562,70
I12176630,I12176630,Tanjungpura University,education,education,Other,ID,1,0.0,0.0,0.0,7.01741574200561e-36,72
I121797337,I121797337,Leiden University,education,education,Other,NL,6,0.024549409571162212,79.0,0.0015709543361643293,0.05690860709308038,17
I121820613,I121820613,Louisiana State University,education,education,Other,US,1,0.0009322560596643878,3.0,0.0,0.0001788437010734657,47
I121883995,I121883995,Johannes Kepler University of Linz,education,education,Other,AT,1,0.0006215040397762585,2.0,0.0,0.0011147375856009952,17
I121934306,I121934306,Tufts University,education,education,Other,US,1,0.001243008079552517,4.0,0.0,0.0007484181282373004,17
I122140584,I122140584,Universidade Federal do Rio de Janeiro,education,education,Other,BR,4,0.004039776258545681,13.0,0.001545370028710068,0.003046691138876266,73
I122346577,I122346577,University of Modena and Reggio Emilia,education,education,Other,IT,4,0.0018645121193287756,6.0,0.0007101300154605262,0.0029727327843497944,114
I122411786,I122411786,California Institute of Technology,education,education,Other,US,4,0.027346177750155375,89.0,5.2244659035724623e-05,0.06237718076694061,17
I122534668,I122534668,Marche Polytechnic University,education,education,Other,IT,2,0.0027967681789931634,9.0,0.0005167930700657419,0.0016605358771413334,49
I122640774,I122640774,American University in Dubai,education,education,Other,AE,2,0.0006215040397762585,4.0,0.0,4.7355320769606207e-07,70
I122690471,I122690471,Skidaway Institute of Oceanography,education,education,Other,US,1,0.014605344934742075,47.0,0.0,0.012839970756676259,13
I122991210,I122991210,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",facility,research_institute,Other,IT,2,0.0006215040397762585,2.0,2.9477507055932583e-06,3.062223409619028e-05,114
I123044942,I123044942,Universitat Autònoma de Barcelona,education,education,Other,ES,3,0.0021752641392169046,7.0,4.403843274401606e-05,0.0013101083305441016,74
