id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I106460735,I106460735,Philadelphia College of Osteopathic Medicine,education,education,Other,US,1,0.0004045853000674309,3.0,0.0,1.1205774473156017e-06,29
I10660446,I10660446,Kunming University of Science and Technology,education,education,Other,CN,6,0.0012137559002022927,11.0,3.1287056744716354e-06,0.0015027073184075794,3
I106663880,I106663880,University of Bahrain,education,education,Other,BH,1,0.00013486176668914363,1.0,0.0,3.4520617349066283e-07,4
I106778892,I106778892,Princess Nourah bint Abdulrahman University,education,education,Other,SA,10,0.005124747134187458,39.0,0.0013210368582490964,0.0011826531746433858,4
I106785703,I106785703,Institut polytechnique de Grenoble,education,education,Other,FR,9,0.004720161834120027,73.0,1.8905628474811164e-06,0.008048902659643526,7
I106826634,I106826634,Jain University,education,education,Other,IN,4,0.0005394470667565745,4.0,0.0002429476336525765,4.2024984679889374e-08,4
I106841677,I106841677,Mother Teresa Women's University,education,education,Other,IN,1,0.00013486176668914363,1.0,0.0,1.5069999570260156e-06,16
I106938459,I106938459,University of New Brunswick,education,education,Other,CA,5,0.0009440323668240054,10.0,3.638029854036785e-08,0.0008839503266216017,0
I106969075,I106969075,Idaho State University,education,education,Other,US,3,0.0016183412002697237,12.0,0.0005478218114805672,0.0008317947908349214,15
I106980716,I106980716,Adamawa State University,education,education,Other,NG,1,0.0004045853000674309,3.0,0.0,3.465816794120672e-10,2
I106994412,I106994412,Sinopec (China),company,company,Other,CN,4,0.0013486176668914363,10.0,1.0914089562110356e-07,0.0018039942468856594,3
I107077323,I107077323,Worcester Polytechnic Institute,education,education,Other,US,7,0.009035738368172624,67.0,0.0002551077484396945,0.0023728400483742883,4
I107139065,I107139065,College of the Holy Cross,education,education,Other,US,1,0.00026972353337828726,2.0,0.0,4.318422189436615e-05,0
I107326029,I107326029,Oranim Academic College of Education,education,education,Other,IL,2,0.0005394470667565745,4.0,0.0,0.00021416899796736767,16
I107575416,I107575416,University of Aleppo,education,education,Other,SY,1,0.00445043830074174,33.0,0.0,0.0006158645988332179,6
I107606265,I107606265,Broad Institute,nonprofit,nonprofit,Other,US,19,0.015374241402562374,208.0,1.0114415952289702e-05,0.04304129605317693,0
I107639228,I107639228,University of Notre Dame,education,education,Other,US,34,0.007956844234659474,70.0,0.0012454861902508924,0.012092843739701412,0
I107640659,I107640659,South Ural State University,education,education,Other,RU,3,0.0009440323668240054,7.0,7.193289016727789e-05,6.83378546828281e-05,19
