id,institution_id,institution_name,institution_type,simplified_institution_category,target_firm_label,country_code,publication_count,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community,company_neighbor_count,education_neighbor_count,research_institute_neighbor_count
I241749,I241749,University of Cambridge,education,education,Other,GB,110,0.07502693965517242,873.0,0.04530433679977002,0.10085559902262765,0,40,298,102
I201448701,I201448701,University of Washington,education,education,Other,US,155,0.06748383620689655,811.0,0.039705346372124445,0.10924327806758484,0,34,269,64
I185261750,I185261750,University of Toronto,education,education,Other,CA,122,0.051858836206896554,619.0,0.03716482946251779,0.05470408897125211,0,26,186,43
I183067930,I183067930,Shanghai Jiao Tong University,education,education,Other,CN,199,0.05105064655172414,784.0,0.03569929886086547,0.16108954832398215,4,30,186,47
I62916508,I62916508,Technical University of Munich,education,education,Other,DE,108,0.049703663793103446,585.0,0.03381183159384485,0.05609357474552975,17,21,200,65
I1291425158,I1291425158,Google (United States),company,company,Google / Google DeepMind / DeepMind,US,197,0.04162176724137931,590.0,0.03379126608618023,0.08806416609161265,0,45,187,37
I20231570,I20231570,Peking University,education,education,Other,CN,207,0.05495689655172414,811.0,0.03333721167062205,0.16641150674527763,4,39,213,42
I95457486,I95457486,"University of California, Berkeley",education,education,Other,US,127,0.04458512931034483,617.0,0.032234650372488204,0.08447689854674571,0,42,183,59
I205783295,I205783295,Cornell University,education,education,Other,US,116,0.05374461206896552,661.0,0.027334571110828463,0.06861603238584944,0,30,208,53
I200769079,I200769079,Hong Kong University of Science and Technology,education,education,Other,HK,173,0.04566271551724138,713.0,0.02664944559712887,0.1866836670201375,4,51,184,40
I76130692,I76130692,Zhejiang University,education,education,Other,CN,191,0.04337284482758621,609.0,0.026007427106857512,0.10872989138321665,4,31,193,28
I74801974,I74801974,The University of Tokyo,education,education,Other,JP,66,0.05105064655172414,482.0,0.024237161282761814,0.041585681520098644,24,14,193,75
I4210087915,I4210087915,Massachusetts General Hospital,healthcare,healthcare,Other,US,78,0.04323814655172414,606.0,0.02279186978312911,0.09803771302060416,0,14,153,31
I78577930,I78577930,Columbia University,education,education,Other,US,119,0.0390625,478.0,0.017441012687019804,0.06877310719186962,11,22,169,42
I56590836,I56590836,Monash University,education,education,Other,AU,106,0.03596443965517241,371.0,0.01741610104733556,0.03903414399007022,2,10,179,21
I32971472,I32971472,Yale University,education,education,Other,US,97,0.05158943965517241,536.0,0.016701395018227976,0.06987147822676262,11,26,196,54
I4391012619,I4391012619,Shanghai Artificial Intelligence Laboratory,facility,research_institute,Other,,118,0.025323275862068964,497.0,0.015761468727402066,0.16294310257858893,4,22,108,30
I20089843,I20089843,Princeton University,education,education,Other,US,81,0.044046336206896554,511.0,0.015011636890198955,0.0750325942664067,11,29,189,64
I157773358,I157773358,Sun Yat-sen University,education,education,Other,CN,125,0.051454741379310345,662.0,0.014310363240781245,0.10879298477591928,4,21,173,39
I157725225,I157725225,University of Illinois Urbana-Champaign,education,education,Other,US,103,0.049703663793103446,545.0,0.013691847759008911,0.07074198560236256,11,31,203,68
I14243506,I14243506,Hong Kong Polytechnic University,education,education,Other,HK,127,0.03246228448275862,351.0,0.013100199020226175,0.05672770855901883,4,9,175,19
I168719708,I168719708,City University of Hong Kong,education,education,Other,HK,69,0.026400862068965518,267.0,0.012839884580113672,0.03956357788716378,4,18,153,9
I129604602,I129604602,The University of Sydney,education,education,Other,AU,75,0.025457974137931032,284.0,0.012438223289667375,0.0483978206411857,4,15,117,17
I31746571,I31746571,UNSW Sydney,education,education,Other,AU,58,0.028286637931034482,263.0,0.011849069733967127,0.025078444083744097,13,5,166,17
I151746483,I151746483,University of Waterloo,education,education,Other,CA,61,0.029364224137931032,326.0,0.011557819780087982,0.05526032586470406,11,25,130,31
I126520041,I126520041,University of Science and Technology of China,education,education,Other,CN,146,0.025592672413793104,351.0,0.011238240171618553,0.08173097796666888,4,27,116,29
I36258959,I36258959,University of California San Diego,education,education,Other,US,93,0.03919719827586207,423.0,0.011233506812525405,0.05779172495694593,0,23,157,35
