id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5000205211,0.00021560685629803028,14.0,0.0,1.9941977643373966e-20,89
A5000205420,7.700244867786796e-05,5.0,0.0,3.426005671834173e-27,90
A5000207495,0.0001848058768268831,12.0,0.0,1.7508696326221448e-21,91
A5000207892,7.700244867786796e-05,9.0,0.0,2.3798247340039787e-12,66
A5000211688,9.240293841344155e-05,12.0,0.0,2.5657710129712237e-08,93
A5000214180,0.00010780342814901514,7.0,0.0,4.557709073493508e-25,94
A5000215116,0.0003696117536537662,24.0,7.238453123732146e-06,8.032439470243997e-11,95
A5000223219,0.00016940538709130952,11.0,0.0,1.0310391399489304e-08,462
A5000226430,0.00015400489735573593,10.0,0.0,2.2892575873845515e-09,1165
A5000231744,4.620146920672077e-05,3.0,0.0,1.1731225637978788e-23,97
A5000232184,6.160195894229437e-05,4.0,0.0,1.0638813767875932e-26,98
A5000232528,0.00010780342814901514,7.0,0.0,6.145067610331923e-28,99
A5000235387,4.620146920672077e-05,3.0,0.0,1.0168365031481552e-13,100
A5000240082,9.240293841344155e-05,6.0,0.0,2.808220801653479e-10,8
A5000244644,9.240293841344155e-05,6.0,0.0,4.708510045729821e-26,101
A5000245150,4.620146920672077e-05,3.0,0.0,2.743757533720079e-10,34
A5000245959,0.00015400489735573593,24.0,0.0,2.2106423077706852e-05,102
A5000249065,0.00024640783576917747,16.0,0.0,7.505036674527208e-16,103
A5000250405,0.00012320391788458874,8.0,0.0,4.452344847425044e-10,104
A5000254294,9.240293841344155e-05,6.0,0.0,1.0821474665212892e-08,93
A5000254700,3.0800979471147184e-05,2.0,0.0,2.613834893672311e-32,105
A5000258665,0.00012320391788458874,8.0,0.0,3.915544627885486e-24,106
A5000260621,0.00029260930497589826,19.0,0.0,4.151972087202331e-11,107
A5000265897,0.0009548303636055627,71.0,2.387149434422303e-07,8.092038429348832e-08,71
A5000277651,3.0800979471147184e-05,2.0,0.0,2.613834893672311e-32,108
A5000279490,6.160195894229437e-05,4.0,0.0,1.54421189969955e-28,109
A5000280018,0.00035421126391819264,23.0,0.0,5.885832926575312e-17,110
A5000283424,4.620146920672077e-05,3.0,0.0,7.803347290817479e-23,111
A5000283605,0.0001848058768268831,12.0,0.0,1.7508696326221448e-21,112
A5000290221,9.240293841344155e-05,6.0,0.0,4.708510045729821e-26,113
A5000290961,4.620146920672077e-05,3.0,0.0,3.477256068033989e-30,114
A5000291379,0.0,0.0,0.0,2.024029421174194e-40,115
A5000295734,6.160195894229437e-05,4.0,0.0,1.5089298861847492e-09,116
A5000299138,7.700244867786796e-05,5.0,0.0,9.430055457274067e-08,1661
A5000300454,0.00016940538709130952,11.0,0.0,7.336705723625472e-07,14
A5000300751,0.0003696117536537662,34.0,9.154534266084003e-05,4.031720115493528e-09,87
A5000300840,6.160195894229437e-05,4.0,0.0,2.07188822905402e-09,200
A5000301628,0.00013860440762016233,9.0,0.0,1.1078511667015208e-09,69
A5000303572,0.00010780342814901514,7.0,0.0,2.3172233796567874e-13,66
A5000304469,0.00016940538709130952,11.0,0.0,8.198364746572334e-09,658
A5000305374,4.620146920672077e-05,3.0,0.0,3.477256068033989e-30,119
A5000308763,0.00010780342814901514,7.0,0.0,8.794965381740582e-11,74
A5000311674,7.700244867786796e-05,7.0,0.0,4.580070800198235e-12,200
A5000311824,0.0001848058768268831,12.0,0.0,2.734324892058032e-21,121
A5000312791,0.00012320391788458874,8.0,0.0,9.060648565719384e-10,1661
A5000318076,9.240293841344155e-05,6.0,0.0,4.708510045729821e-26,122
A5000320110,0.0006468205688940909,42.0,0.0,1.1889964719110617e-12,123
A5000324199,0.00040041273312491337,26.0,0.0,7.544021819140236e-10,124
A5000324467,3.0800979471147184e-05,2.0,0.0,2.613834893672311e-32,125
A5000326689,0.0,0.0,0.0,2.024029421174194e-40,126
A5000326701,4.620146920672077e-05,9.0,0.0,3.1964656488653963e-07,127
A5000329984,0.00013860440762016233,9.0,0.0,2.0240294211741967e-23,128
A5000331140,0.00035421126391819264,23.0,0.0,1.8426180156682712e-07,22
