id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
I1282516798,0.001830543933054393,7.0,0.0,0.00042433559494235837,0
I1282691321,0.0,0.0,0.0,3.211818884300829e-35,72
I1282776028,0.0005230125523012552,2.0,0.0,0.00039475093071743316,16
I1282927834,0.011244769874476987,57.0,0.00014791098918960781,0.006408243362983466,0
I12832649,0.003138075313807531,16.0,0.0018105929354406696,0.001178276130938466,2
I1283280774,0.02928870292887029,151.0,0.009766070691702301,0.03401777791590209,0
I1283595831,0.0002615062761506276,1.0,0.0,0.0013439958609409504,3
I1283613182,0.0020920502092050207,9.0,0.0008999153986496617,0.0003328682551934363,7
I1284584826,0.0002615062761506276,1.0,0.0,0.0002521047609276003,14
I1284598098,0.0007845188284518827,4.0,6.840342038991044e-08,0.0003265513673991714,1
I1284762954,0.00653765690376569,26.0,0.0006234857762839685,0.007892266852120824,79
I1285013897,0.002615062761506276,10.0,0.0,0.0005892136006256874,1
I1285072804,0.0041841004184100415,16.0,0.0,0.0009681016029106314,14
I1285301757,0.0033995815899581588,13.0,0.0,0.0022374136485260993,0
I1285739803,0.001830543933054393,7.0,0.0,0.0019530476078470193,1
I1285764155,0.0007845188284518827,3.0,0.0,2.916215117219807e-06,16
I1286353243,0.0005230125523012552,2.0,0.0,0.0007568693186032545,3
I1286825341,0.0,0.0,0.0,3.211818884300829e-35,73
I1287097855,0.0005230125523012552,2.0,0.0,5.795998773711498e-06,0
I1287163989,0.0010460251046025104,4.0,0.0,7.336319277228678e-05,2
I1287378978,0.0005230125523012552,2.0,0.0,0.00037247138926501826,1
I1288214837,0.010460251046025104,40.0,0.0,0.0040483993824184505,1
I1288675226,0.0028765690376569035,11.0,0.0,0.0012836682375712343,57
I1288702032,0.0010460251046025104,4.0,0.0,0.0029155654947367418,3
I1288882113,0.01856694560669456,89.0,0.003678147182206104,0.017705241256764436,0
I1289243028,0.004968619246861925,19.0,0.0012484277853842378,0.006493674852840587,0
I128932393,0.0007845188284518827,3.0,0.0,9.341195838288443e-07,23
I1289437631,0.0033995815899581588,13.0,0.0,0.0022374136485260993,0
I1289530486,0.003138075313807531,13.0,0.0,0.0027321152158101512,0
I128956969,0.0002615062761506276,1.0,0.0,2.1048976240153915e-30,74
I1289784979,0.002353556485355648,9.0,0.0,0.006650621364879102,25
I1290206253,0.0198744769874477,106.0,0.005205230181481323,0.029997709838251244,0
I1290603121,0.0067991631799163175,26.0,6.703535198211224e-06,0.008490109913650273,3
I12912129,0.00993723849372385,42.0,0.0010824249631534715,0.0144725684240611,0
I1291425158,0.02719665271966527,144.0,0.010532661175694371,0.02204804127916966,9
I1292020679,0.001307531380753138,5.0,0.0,0.0003070295011696933,0
I1292235266,0.0007845188284518827,3.0,0.0,8.853282836951683e-06,57
I1292875679,0.008629707112970711,47.0,0.001565716399401689,0.008922074961823671,16
I1292894508,0.0033995815899581588,15.0,8.858994626431756e-06,0.0006738903084456683,81
I1293035123,0.0005230125523012552,2.0,0.0,2.1779637582311785e-05,12
I1293226324,0.0007845188284518827,3.0,0.0,5.255248123432959e-07,79
I129335695,0.004968619246861925,19.0,1.2312615670183878e-06,0.006520420042848133,3
I1293718874,0.0,0.0,0.0,3.211818884300829e-35,75
I1294504835,0.003138075313807531,12.0,0.0,0.00034613097749542775,79
I1294578330,0.001830543933054393,7.0,0.0,9.776867497828538e-05,23
