id,degree_centrality,weighted_degree,betweenness_centrality,eigenvector_centrality,community
A5002015508,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,186
A5002023162,0.00022917382834880258,4.0,0.0,3.7492814603566175e-08,144
A5002024522,0.00022917382834880258,4.0,0.0,2.6627120487474345e-12,187
A5002028885,0.0002864672854360032,5.0,0.0,3.52593166635338e-25,188
A5002051192,0.0002864672854360032,5.0,0.0,3.52593166635338e-25,189
A5002061412,0.00034376074252320387,6.0,0.0,6.018760345068948e-14,171
A5002064919,0.00045834765669760516,13.0,0.0,2.4189475669692768e-09,41
A5002072267,0.00177609716970322,45.0,0.00603911184970287,3.053311048574496e-07,14
A5002088849,0.0004010541996104045,7.0,0.0,5.909919982599558e-12,14
A5002102862,0.0004010541996104045,9.0,3.6162680894314656e-05,3.7619001913667956e-10,190
A5002106052,0.0010885756846568122,19.0,0.0,9.101045934494622e-16,191
A5002108091,5.7293457087200645e-05,1.0,0.0,9.101045934494653e-34,192
A5002110023,0.0007448149421336084,15.0,0.0,5.695316781331455e-18,37
A5002120772,0.0013177495130056148,23.0,0.0,2.4230017911869673e-14,193
A5002124380,0.0004010541996104045,7.0,0.0,2.2964431310052986e-22,194
A5002125775,0.0022344448264008253,39.0,0.0,1.400172750783768e-07,18
A5002127145,0.00022917382834880258,4.0,0.0,1.32437648928239e-26,195
A5002135216,0.0006875214850464077,12.0,0.0,3.9041970224458837e-19,196
A5002158202,0.0002864672854360032,20.0,0.0,3.106301905145604e-16,197
A5002159664,0.0007448149421336084,13.0,0.0,2.165683076977334e-10,74
A5002185558,0.0002864672854360032,5.0,0.0,3.9451642541603433e-20,198
A5002187986,0.0007448149421336084,20.0,1.102287479132519e-05,1.1588459753444459e-07,85
A5002206405,0.0004010541996104045,7.0,0.0,1.8437815858382912e-09,199
A5002208932,0.00022917382834880258,4.0,0.0,1.32437648928239e-26,200
A5002209208,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,201
A5002211679,0.004182422367365647,81.0,0.0013120632433242497,6.8133365050575765e-06,163
A5002213285,0.0014896298842672169,26.0,0.0,4.935738059505246e-07,19
A5002223413,0.0004010541996104045,7.0,0.0,6.254191143687736e-23,202
A5002228588,0.00022917382834880258,4.0,0.0,9.38090807058867e-12,0
A5002235575,5.7293457087200645e-05,1.0,0.0,1.2805620055966327e-10,3
A5002240795,0.00045834765669760516,8.0,0.0,5.210945779263349e-22,203
A5002271297,5.7293457087200645e-05,1.0,0.0,9.101045934494653e-34,164
A5002278578,0.00022917382834880258,4.0,0.0,1.0743552669741514e-09,1
A5002281375,0.00022917382834880258,4.0,0.0,1.32437648928239e-26,204
A5002287536,0.00034376074252320387,6.0,0.0,8.641557435960677e-10,0
A5002289527,0.0002864672854360032,5.0,0.0,2.3070511874461778e-08,3
A5002301422,0.00011458691417440129,6.0,0.0,9.003856234672891e-23,205
A5002311337,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,206
A5002312975,0.0002864672854360032,5.0,0.0,3.52593166635338e-25,207
A5002314662,0.00017188037126160193,3.0,0.0,2.3857845854521663e-28,208
A5002316432,0.00022917382834880258,4.0,0.0,3.4152622090819815e-09,88
A5002333389,0.0002864672854360032,5.0,0.0,3.52593166635338e-25,209
A5002335888,0.00022917382834880258,4.0,0.0,1.32437648928239e-26,210
A5002351623,0.00022917382834880258,4.0,0.0,1.8432287190009868e-09,15
A5002355565,0.00017188037126160193,3.0,0.0,2.3857845854521663e-28,211
A5002357017,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,212
A5002359013,0.0010885756846568122,30.0,0.0,2.847080435772932e-13,213
A5002384071,5.7293457087200645e-05,1.0,0.0,9.101045934494653e-34,214
A5002409683,0.0005729345708720064,11.0,3.820001502920557e-07,6.129706255086221e-09,144
A5002413999,0.0004010541996104045,7.0,0.0,6.254191143687736e-23,215
A5002418313,0.0015469233413544173,27.0,0.0,2.2353616734718412e-12,9
A5002426438,0.00017188037126160193,3.0,0.0,2.3857845854521663e-28,216
A5002429891,0.0,0.0,0.0,3.4717735040644275e-39,217
A5002432646,0.0005729345708720064,10.0,0.0,1.9302773613771427e-20,218
A5002446985,0.0002864672854360032,5.0,0.0,3.52593166635338e-25,219
A5002448265,0.0,0.0,0.0,3.4717735040644275e-39,220
A5002451902,0.0004010541996104045,7.0,0.0,6.364567282734027e-15,221
A5002459081,0.002578205568924029,45.0,0.005597639202304636,1.4306028759056023e-07,15
A5002459483,0.00017188037126160193,3.0,0.0,2.3857845854521663e-28,222
A5002462683,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,223
A5002464117,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,224
A5002476927,0.0008594018563080096,16.0,0.0,3.1343754208453588e-21,225
A5002494284,0.0002864672854360032,5.0,0.0,3.52593166635338e-25,226
A5002497004,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,227
A5002505238,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,6
A5002530990,0.0016615102555288187,29.0,0.0,1.6239457120415205e-09,15
A5002534655,0.00017188037126160193,3.0,0.0,6.990070439260925e-20,228
A5002536740,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,229
A5002551163,0.000630228027959207,11.0,0.0,9.243018307445404e-20,94
A5002558627,0.0006875214850464077,12.0,0.0,3.9041970224458837e-19,75
A5002583185,0.00034376074252320387,6.0,0.0,5.653483182883726e-24,230
A5002592908,0.0005156411137848059,9.0,0.0,5.405048972388326e-13,30
A5002595735,0.00022917382834880258,4.0,0.0,2.3057585849968355e-26,231
A5002612803,0.00017188037126160193,3.0,0.0,2.3857845854521663e-28,232
A5002613015,0.00011458691417440129,2.0,0.0,1.345036188641884e-30,229
A5002621773,0.0002864672854360032,10.0,0.0,7.733807817888548e-08,144
A5002649853,0.00022917382834880258,4.0,0.0,1.32437648928239e-26,233
A5002651535,0.00022917382834880258,4.0,0.0,1.32437648928239e-26,234
A5002652750,0.000802108399220809,14.0,0.0,1.7006206808660634e-08,74
A5002654756,0.0009166953133952103,25.0,0.00023954818125466128,8.531667170944167e-09,3
A5002684888,0.0005729345708720064,10.0,0.0,7.988660217051886e-10,113
A5002692470,0.0008594018563080096,15.0,0.0,7.240820234240683e-15,153
A5002697876,0.0002864672854360032,5.0,0.0,1.3822289729636765e-24,235
A5002702247,0.000802108399220809,24.0,0.0,7.229234434068514e-14,236
A5002716088,5.7293457087200645e-05,1.0,0.0,1.983356767143465e-30,237
A5002719102,0.00011458691417440129,2.0,0.0,6.24423536866585e-10,30
